,Unnamed: 0,Date,Symbol,Open,High,Low,Close,Volume,Compound_x,Negative_x,Neutral_x,Positive_x,Compound_y,Negative_y,Neutral_y,Positive_y
60,31049,2015-03-30,ATLH,328.01,330.0,327.75,327.75,2700,0.6597,0.097,0.69,0.213,0.6597,0.097,0.69,0.213
61,31556,2015-03-31,ATLH,311.37,344.13,311.37,335.0,4600,-0.743,0.192,0.743,0.065,-0.743,0.192,0.743,0.065
62,32061,2015-04-01,ATLH,340.01,340.01,338.0,338.0,900,0.4767,0.0,0.907,0.093,0.4767,0.0,0.907,0.093
63,32569,2015-04-02,ATLH,340.0,352.0,340.0,352.0,1900,0.3182,0.041,0.88,0.079,0.3182,0.041,0.88,0.079
64,33073,2015-04-03,ATLH,350.0,352.0,335.0,348.95,2300,0.3626,0.099,0.712,0.188,0.3626,0.099,0.712,0.188
65,33576,2015-04-06,ATLH,360.0,366.0,359.59,365.99,2700,-0.8979,0.285,0.664,0.051,-0.8979,0.285,0.664,0.051
66,34080,2015-04-07,ATLH,379.9,380.0,370.05,371.37,3600,-0.6369,0.156,0.799,0.045,-0.6369,0.156,0.799,0.045
67,34565,2015-04-08,ATLH,380.0,389.92,375.0,380.01,9800,0.743,0.065,0.677,0.258,0.743,0.065,0.677,0.258
68,35056,2015-04-09,ATLH,371.0,395.0,370.05,386.94,17400,-0.802,0.198,0.754,0.048,-0.802,0.198,0.754,0.048
69,35563,2015-04-10,ATLH,392.0,393.0,388.0,388.0,13300,-0.0258,0.079,0.845,0.076,-0.0258,0.079,0.845,0.076
70,36074,2015-04-13,ATLH,391.5,403.75,391.5,395.0,14000,-0.6705,0.158,0.842,0.0,-0.6705,0.158,0.842,0.0
71,36544,2015-04-14,ATLH,395.0,395.0,390.0,395.0,2100,-0.9623,0.464,0.477,0.059,-0.9623,0.464,0.477,0.059
72,37028,2015-04-15,ATLH,390.0,399.75,390.0,395.0,5700,-0.7269,0.16,0.84,0.0,-0.7269,0.16,0.84,0.0
73,37524,2015-04-16,ATLH,390.0,392.0,390.0,392.0,200,-0.5574,0.158,0.775,0.068,-0.5574,0.158,0.775,0.068
74,38042,2015-04-17,ATLH,400.0,400.0,398.0,399.0,300,-0.7506,0.218,0.718,0.065,-0.7506,0.218,0.718,0.065
75,38546,2015-04-20,ATLH,405.0,405.0,390.0,396.99,1300,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
76,39069,2015-04-21,ATLH,394.9,394.9,385.0,385.0,1200,0.3818,0.0,0.898,0.102,0.3818,0.0,0.898,0.102
77,39605,2015-04-22,ATLH,398.5,398.5,381.26,381.26,600,-0.802,0.231,0.708,0.061,-0.802,0.231,0.708,0.061
78,40133,2015-04-23,ATLH,392.0,392.0,373.0,375.1,1300,-0.9042,0.306,0.694,0.0,-0.9042,0.306,0.694,0.0
79,40655,2015-04-24,ATLH,375.0,393.85,373.0,392.76,13100,-0.891,0.265,0.735,0.0,-0.891,0.265,0.735,0.0
80,41197,2015-04-27,ATLH,399.0,409.0,390.0,390.38,12400,-0.34,0.203,0.632,0.166,-0.34,0.203,0.632,0.166
81,41710,2015-04-28,ATLH,393.99,394.0,385.0,388.0,4100,-0.7717,0.233,0.693,0.075,-0.7717,0.233,0.693,0.075
82,42229,2015-04-29,ATLH,404.0,404.0,368.6,378.42,5900,-0.0085,0.175,0.652,0.174,-0.0085,0.175,0.652,0.174
83,42727,2015-04-30,ATLH,385.0,394.0,360.3,362.4,39800,0.5423,0.0,0.862,0.138,0.5423,0.0,0.862,0.138
84,43224,2015-05-04,ATLH,370.0,370.0,361.05,361.24,4300,-0.8591,0.26,0.74,0.0,-0.8591,0.26,0.74,0.0
85,43721,2015-05-05,ATLH,368.0,368.0,355.05,359.25,2300,0.5563,0.069,0.753,0.178,0.5563,0.069,0.753,0.178
86,44229,2015-05-06,ATLH,362.89,362.89,356.0,356.75,1900,-0.6808,0.141,0.859,0.0,-0.6808,0.141,0.859,0.0
87,44731,2015-05-07,ATLH,350.01,352.0,345.05,347.6,4600,-0.1027,0.037,0.963,0.0,-0.1027,0.037,0.963,0.0
88,45217,2015-05-08,ATLH,349.98,359.0,343.05,356.33,7400,0.128,0.053,0.88,0.067,0.128,0.053,0.88,0.067
89,45706,2015-05-11,ATLH,345.0,353.0,344.9,349.49,15700,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
90,46183,2015-05-12,ATLH,350.0,366.0,348.95,366.0,12000,-0.4215,0.085,0.878,0.037,-0.4215,0.085,0.878,0.037
91,46654,2015-05-13,ATLH,369.0,369.05,355.0,360.0,2200,-0.5766,0.23,0.672,0.098,-0.5766,0.23,0.672,0.098
92,47127,2015-05-14,ATLH,358.0,360.0,350.0,360.0,2700,-0.8807,0.405,0.595,0.0,-0.8807,0.405,0.595,0.0
93,47613,2015-05-15,ATLH,350.5,365.5,350.0,360.0,1500,-0.8176,0.254,0.746,0.0,-0.8176,0.254,0.746,0.0
94,48097,2015-05-18,ATLH,350.01,350.01,345.1,347.58,800,-0.6369,0.217,0.701,0.083,-0.6369,0.217,0.701,0.083
